"#datatype","string","long","dateTime:RFC3339","dateTime:RFC3339","dateTime:RFC3339","double"
"#group","false","false","false","true","true","false"
"#default","_result","","","","",""
"","","0","2025-06-03T11:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","20.413333333333235"
"","","0","2025-06-03T12:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","21.276944444444517"
"","","0","2025-06-03T13:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","22.841111111111072"
"","","0","2025-06-03T14:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","23.432499999999855"
"","","0","2025-06-03T15:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","23.644444444444378"
"","","0","2025-06-03T16:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","23.63138888888888"
"","","0","2025-06-03T17:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","23.577222222222126"
"","","0","2025-06-03T18:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","22.93999999999999"
"","","0","2025-06-03T19:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","22.23055555555558"
"","","0","2025-06-03T20:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","21.08833333333319"
"","","0","2025-06-03T21:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","19.46444444444449"
"","","0","2025-06-03T22:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.49194444444445"
"","","0","2025-06-03T23:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.43722222222228"
"","","0","2025-06-04T00:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.851111111111248"
"","","0","2025-06-04T01:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","19.08388888888892"
"","","0","2025-06-04T02:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.94999999999994"
"","","0","2025-06-04T03:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.487500000000054"
"","","0","2025-06-04T04:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.543333333333333"
"","","0","2025-06-04T05:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.751944444444387"
"","","0","2025-06-04T06:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.073611111111106"
"","","0","2025-06-04T07:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.25138888888889"
"","","0","2025-06-04T08:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","19.83111111111115"
"","","0","2025-06-04T09:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","20.27222222222213"
"","","0","2025-06-04T10:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","20.41194444444451"
"","","0","2025-06-04T11:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","20.431666666666654"
"","","0","2025-06-04T12:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","19.337499999999956"
"","","0","2025-06-04T13:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.319722222222303"
"","","0","2025-06-04T14:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","19.30861111111115"
"","","0","2025-06-04T15:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","19.86305555555557"
